label,idx,prompt_text
0,294407,"Select the stance of the premise towards the hypothesis: Entailment (0), Neutral (1), Contradiction (2)
Premise: for financial support.
Hypothesis: Help with money.
 Answer: "
2,216090,"Select the stance of the premise towards the hypothesis: Entailment (0), Neutral (1), Contradiction (2)
Premise: Outstanding in the ground floor collections are the vast canvases of Gustave Courbet.
Hypothesis: Gustave Courbet's work is only featured on the second floor.
 Answer: "
1,341681,"Select the stance of the premise towards the hypothesis: Entailment (0), Neutral (1), Contradiction (2)
Premise: Changes of nationality have left Alsace with a distinctive dialect, architecture, cuisine, and local pride ' the best of both worlds.
Hypothesis: Alsace is a fine and elegant place to visit. 
 Answer: "
2,284185,"Select the stance of the premise towards the hypothesis: Entailment (0), Neutral (1), Contradiction (2)
Premise: A float drifted by, bearing scantily clad mascots.
Hypothesis: There was no floats in the parade.
 Answer: "
0,110920,"Select the stance of the premise towards the hypothesis: Entailment (0), Neutral (1), Contradiction (2)
Premise: but we're trying our best not to not to add any you know credit card debt to our structure here
Hypothesis: ""We are moving heaven and earth not to add anymore credit card debt.""
 Answer: "
1,366094,"Select the stance of the premise towards the hypothesis: Entailment (0), Neutral (1), Contradiction (2)
Premise: A generation ago, Abbott's book was hailed as a landmark, a visionary expose.
Hypothesis: That was the only book that Abbot ever wrote.
 Answer: "
2,264018,"Select the stance of the premise towards the hypothesis: Entailment (0), Neutral (1), Contradiction (2)
Premise: John hesitated. 
Hypothesis: John acted quickly, without hesitation.
 Answer: "
2,361543,"Select the stance of the premise towards the hypothesis: Entailment (0), Neutral (1), Contradiction (2)
Premise: oh they turn them over to somebody and they're going to i guess they're going to try to teach computers how to recognize voices and search for specific words and stuff
Hypothesis: They're not trying to teach computers how to recognize voices.
 Answer: "
0,326472,"Select the stance of the premise towards the hypothesis: Entailment (0), Neutral (1), Contradiction (2)
Premise: Norm, I see that Gene's performance is tomorrow---afternoon.
Hypothesis: The performance is scheduled for tomorrow.
 Answer: "
1,253133,"Select the stance of the premise towards the hypothesis: Entailment (0), Neutral (1), Contradiction (2)
Premise: The Commission afforded interested persons the opportunity to comment on the proposed rule, and evaluated and responded to the comments in connection with publication of the final rule.
Hypothesis: The Commission was pleasantly surprised at how insightful the comments often were.
 Answer: "
0,251819,"Select the stance of the premise towards the hypothesis: Entailment (0), Neutral (1), Contradiction (2)
Premise: Manning, said John, ""this gentleman will put some questions to you which I want you to answer.""
Hypothesis: Manning, said John, ""please answer all the questions this gentleman asks you.""
 Answer: "
0,207401,"Select the stance of the premise towards the hypothesis: Entailment (0), Neutral (1), Contradiction (2)
Premise: A low-ceilinged room in one of the buildings has been venerated for centuries as the Tomb of King David.
Hypothesis: For hundreds of years, one of the building's room has been revered as the Tomb of King David.
 Answer: "
0,347765,"Select the stance of the premise towards the hypothesis: Entailment (0), Neutral (1), Contradiction (2)
Premise: It looks dated, but this rainbow-painted beachside monster is still reputed to be the finest hotel in Tel Aviv.
Hypothesis: It is painted many colors.
 Answer: "
0,378065,"Select the stance of the premise towards the hypothesis: Entailment (0), Neutral (1), Contradiction (2)
Premise: If you are a Catholic, you confess.
Hypothesis: Catholic people have to confess.
 Answer: "
2,246990,"Select the stance of the premise towards the hypothesis: Entailment (0), Neutral (1), Contradiction (2)
Premise: you can do certain things with them
Hypothesis: They have little to no use in any possible applications.
 Answer: "
0,8282,"Select the stance of the premise towards the hypothesis: Entailment (0), Neutral (1), Contradiction (2)
Premise: The truth of the matter was that it was Lawrence who had murdered Alfred Inglethorp with a croquet 114 mallet. 
Hypothesis: Alfred Inglethorp was murdrered by Lawrence with a croquet mallet.
 Answer: "
0,221284,"Select the stance of the premise towards the hypothesis: Entailment (0), Neutral (1), Contradiction (2)
Premise: She could not be implicated ”otherwise I should have heard some hint of it. 
Hypothesis: I have not heard that she was implicated.
 Answer: "
2,319140,"Select the stance of the premise towards the hypothesis: Entailment (0), Neutral (1), Contradiction (2)
Premise: Legal assistance to H-2A workers was expressly limited to matters relating to wages, housing, transportation, and other employment rights as provided in the worker's specific contract.
Hypothesis: H-2A workers have no options for legal assistance.
 Answer: "
2,83099,"Select the stance of the premise towards the hypothesis: Entailment (0), Neutral (1), Contradiction (2)
Premise: Kom Ombo Temple lies closest to Aswan ' some 60 km (37 miles) south of Edfu.
Hypothesis: Kom Ombo Temple lies to the north of Edfu.
 Answer: "
1,338407,"Select the stance of the premise towards the hypothesis: Entailment (0), Neutral (1), Contradiction (2)
Premise: Accordingly I accosted him. 
Hypothesis: As a result, I threw a punch aimed at his face.
 Answer: "
0,221959,"Select the stance of the premise towards the hypothesis: Entailment (0), Neutral (1), Contradiction (2)
Premise: Just sit on your backpack or a piece of cardboard, push off, and slither down.
Hypothesis: Put your butt on a piece of cardboard and away you go.
 Answer: "
1,217934,"Select the stance of the premise towards the hypothesis: Entailment (0), Neutral (1), Contradiction (2)
Premise: Oh, this fellow! 
Hypothesis: This man is great.  
 Answer: "
0,281430,"Select the stance of the premise towards the hypothesis: Entailment (0), Neutral (1), Contradiction (2)
Premise: Tradition says that a woman wiped the sweaty, bloody face of Jesus here and an imprint was left on the cloth.
Hypothesis: Jesus had his face wiped by the woman.
 Answer: "
2,285848,"Select the stance of the premise towards the hypothesis: Entailment (0), Neutral (1), Contradiction (2)
Premise: At least we didn't accuse you of drowning those little children in South Carolina, Gore shot back, in reference to Gingrich's comments blaming liberals for the Susan Smith case.
Hypothesis: Gore said nothing in response to the comments Gingrich made blaming liberals for the drowning deaths of Susan Smith's children.
 Answer: "
1,355809,"Select the stance of the premise towards the hypothesis: Entailment (0), Neutral (1), Contradiction (2)
Premise: oh yeah well during the winter yes we do uh we've had uh well past four or five years i guess at least one day during the year when just everything would just close down because we'd have freezing rain
Hypothesis: We do have to shovel weekly in the winter.
 Answer: "
0,374518,"Select the stance of the premise towards the hypothesis: Entailment (0), Neutral (1), Contradiction (2)
Premise: What did Shannon have against him?
Hypothesis: Why did Shannon dislike him?
 Answer: "
2,392364,"Select the stance of the premise towards the hypothesis: Entailment (0), Neutral (1), Contradiction (2)
Premise: A Trying Time For Many Net Retailers
Hypothesis: It is a great time for a lot of retailers.
 Answer: "
2,242216,"Select the stance of the premise towards the hypothesis: Entailment (0), Neutral (1), Contradiction (2)
Premise: The mountainous man roared, the effect in the lion's helm being quite convincing.
Hypothesis: The man winced in pain. 
 Answer: "
1,387300,"Select the stance of the premise towards the hypothesis: Entailment (0), Neutral (1), Contradiction (2)
Premise: The latter is accomplished by the men, while all the other performers are beautifully costumed women.
Hypothesis: The latter is accomplished by men in stunning suits with white gloves, and the other performers are women.
 Answer: "
1,356885,"Select the stance of the premise towards the hypothesis: Entailment (0), Neutral (1), Contradiction (2)
Premise: Eleventh and a half.
Hypothesis: Eleventh and a half men.
 Answer: "
1,5794,"Select the stance of the premise towards the hypothesis: Entailment (0), Neutral (1), Contradiction (2)
Premise: downtown New Braunfels
Hypothesis: New Braunfels has an awesome downtown.
 Answer: "
1,339600,"Select the stance of the premise towards the hypothesis: Entailment (0), Neutral (1), Contradiction (2)
Premise: Wellesley then turned on the Marathas, whose clans controlled the puppet Mughal emperor in Delhi and much of central India.
Hypothesis: Wellesley turned on the Marathas clans who controlled the Mughal emperor in Delhi and central India in order to gain power for himself.
 Answer: "
1,245584,"Select the stance of the premise towards the hypothesis: Entailment (0), Neutral (1), Contradiction (2)
Premise: and you know they're not making that much money they're making probably more like five or six on the welfare so where's the other ninety percent going well it's going to the some fat guy in the middle who's sitting there on his behind all day doing nothing but filling out papers
Hypothesis: Welfare is easy to get there, but they aren't making much off it.
 Answer: "
1,361844,"Select the stance of the premise towards the hypothesis: Entailment (0), Neutral (1), Contradiction (2)
Premise: Ferguson, echoing a charge made by Washington Post columnist Michael Kelly, says that Pinker wants us to see [infanticide] not as a moral horror but as a genetically encoded evolutionary adaptation, as unavoidable as depth perception or opposable thumbs.
Hypothesis: He says that infanticide should be legal because it is evolutionarily natural. 
 Answer: "
2,303391,"Select the stance of the premise towards the hypothesis: Entailment (0), Neutral (1), Contradiction (2)
Premise: I missed the era of free love while in grade school and am wondering if we are now in the era of free looks.
Hypothesis: I was not alive during the era of free love.
 Answer: "
2,144325,"Select the stance of the premise towards the hypothesis: Entailment (0), Neutral (1), Contradiction (2)
Premise: Guardian of the city's medieval and Renaissance treasures, the Musee de l'Oeuvre Notre-Dame is itself made up of a superb group of 14th-, 16th-, and 17th-century houses around a secluded Gothic garden on the Place du Ceteau, south of the cathedral.
Hypothesis: The Musee de l'Oeuvre Notre-Dame was burned to the ground in a great fire; today, the site is occupied by a football pitch.
 Answer: "
1,9255,"Select the stance of the premise towards the hypothesis: Entailment (0), Neutral (1), Contradiction (2)
Premise: Want to get the kids away from the casinos?
Hypothesis: Do you wish to put some distance between the kids and the casinos and take the kids somewhere nice?
 Answer: "
1,163587,"Select the stance of the premise towards the hypothesis: Entailment (0), Neutral (1), Contradiction (2)
Premise: Evolutionary psychology tells us that economic intercourse is about as deeply ingrained in the human brain as any other form of intercourse.
Hypothesis:  Economic intercourse drives humans to reach the top of the food chain and be powerful.
 Answer: "
1,164672,"Select the stance of the premise towards the hypothesis: Entailment (0), Neutral (1), Contradiction (2)
Premise: i mean i was absolutely flabbergasted at what she they would that she was paid true she was young you know but still it's the principle of course if she got her Master's degree it'd all be different but uh
Hypothesis: I think she deserves much more money.
 Answer: "
2,309244,"Select the stance of the premise towards the hypothesis: Entailment (0), Neutral (1), Contradiction (2)
Premise: And Judge Kenneth Starr to conduct the investigation?
Hypothesis: Is Judge Michael Daniels doing the investigation?
 Answer: "
2,350650,"Select the stance of the premise towards the hypothesis: Entailment (0), Neutral (1), Contradiction (2)
Premise: I stuck my head out into the black, breathing in the night.
Hypothesis: I put my head inside.
 Answer: "
